향수_이름,향수_notes,향수_설명
샤보 카프리스 드 줄리,"Fruity Notes, Ozonic notes, Blueberry, Blackberry, Watermelon, edelweiss, Musk, Sandalwood","숲에서 따온 블루베리로 만든 스무디향이라고 하고 싶습니다. 뿌리자마자 블루베리 향이 나는데요, 그냥 과일 단내만 나는게 아니라 뭔가 숲을 거닐다가 발견한 블루베리를 직접 수확하고 있는 기분이 들게 만드는 그리너리함도 섞여있는 프리티함입니다. 거기에 과즙이 가득한 블랙베리랑 수박 향기도 같이 나요. 그래서 마치 신선한 여름 과일들을 직접 갈아서 만든 스무디를 마시는 듯한 느낌이 들죠. 게다가 알프스 산맥에서 피어나는 에델바이스 꽃향기도 터치가 돼서요. 전반적으로 시원한 하늘색의 연상이 되는 쿨한 향이다라고 느꼈습니다. 근데 이 향수가 잔향에서 약간 반전되요. 베이스 노트에 있는 머스크와 샌다로드 향이 꽤나 포근하거든요. 그래서 친구들이랑 같이 블루베리를 따보기도 하고 에델바이스 꽃을 보면서 알프스산의 풍경을 상상해 보기도 하고 시원한 수박을 맛보기도 하면서 즐겁고 활기찬 시간을 보내다가 저녁이 돼서는 포근하고 안정감 있는 곳에서 도란도란 이야기를 하면서 하루를 마무리하는 듯한 그런 모습이 연상이 돼요."
샤보 카프리스 드 소피,"Red Apple, Mandarin Orange, Lemon, Raspberry, Freesia, Jasmine, Vanilla, Sandalwood, Musk",마치 이제 막 씻고 나와서 머리카락이 촉촉하고 좋은 향기를 풍기고 있는 여자친구를 딱 만났을 때 향기 같거든요. 초반에는 생기발랄한 시트러스 플로러 향인데 잔향으로 갈수록 차분하고 동량적인 샌달우드 머스크향으로 마무리가 돼서요. 이것 역시 반전 매력을 느낄 수 있는 향수죠.
샤보 카프리스 드 마리,"Black Currant, Pineapple, Pear, Peach, Caramel, Musk, Natural Vanilla, Patchouli",은방울꽃과 패출리 향이 도드라지는 섬세한 플로럴의 향수라서 지적이고 중성적인 이미지를 자아내고요. 많이 달지 않은 은은한 바닐라향으로 마무리가 된답니다.
메종 크리벨리 로즈 살티폴리아,"Rose, Sea water, Sea Salt, Seaweed, Musk, Sand, Pink Pepper, Woody Notes",바닷바람을 맞은 장미 들판의 향기라고 할 수 있습니다. 탁 트인 해변의 온듯한 청량한 바다향이라 맑은 장미향 그리고 약간의 짭조름함 거기에다 톡 쏘는 핑크페퍼와 블러드 오렌지향까지 다채롭게 느껴지는데요. 이 모든 양조들이 아주 조화롭게 어우러져서 마치 내가 해변가에 있는 장미정원을 산책하고 있는듯한 그런 착각을 하게 만듭니다.
아쿠아디파르마 루체 디 로사,"Pink Pepper, Black Pepper, Bergamot, Mandarin, Cardamom, Bulgarian Rose, Geranium, Guaiac Wood, Vetiver, Cedar, Musk","스파이스 우디 향이 섞인 로즈 향입니다. 루체디 로사는 뭔가 흙밭에 뒷분 장미에 스파이시 향료를 이렇게 툭툭툭툭 뿌린 것 같은 향입니다. 딱 뿌리자마자 새콤한 시트러스 향이랑 블랙 페퍼 핑크 페퍼 카다멈 등의 톡소는 향신 요양이 같이 나는데요. 레몬이나 귤같은 과즙 향과 스파이시함이 거의 비슷한 비율로 느껴져서 너무 시트러스하게 발랄한 느낌도 아니고 너무 스파이시에서 좀 어렵고 다크한 느낌도 아니에요. 프레시하면서도 우아하다 는 인상을 주고요. 메인 양조인 불가리아 로즈 향이 쭉 이어지는데, 베이스노트에 있는 가이아 고드 시더우드 베티버 머스크 이런 향조를 덕분에 확실히 자양을 우디입니다."
입생로랑 리브르 플라워 앤 플레임,"Lavender, Bergamot, Orange Blossom, Coconut, Lily, Palm Tree, Vanilla","달콤한 화이트 플라워 향이랑 라벤더 향이 나면서, 잔 양에서는 바닐라와 엠버 그리스의 포근함이 남아요. 스윗한 오렌지 블라섬 자스민 향이랑 중성적이면서도 산뜻한 라벤더 향이 공존하고 있다는 거거든요. 그 라벤더 향이 우리가 생각하는 아로마 오일 같은 그런 자연적인 허브 향은 아닌 거 같아요. 그냥 그 향수 전반에 약간의 중성적인 신선함을 더해주는 역할 딱 그 정도 역할을 하는 라벤더 향이고, 리브르는 향수가 사탕처럼 막 달달해서 먹고 싶어 요런 느낌 아니고 럼 순수하고 꽃밭을 뛰어다니는 여자 향수예요."
오디딸리 아쿠아 디 포지타노,"Citron, Petitgrain, Hedione, Orange Blossom, Orange, Salt, Driftwood","딱 뿌리면 진짜 새콤한 유자향이 확 나거든요. 그 유자가 찐 과즙 같은 느낌 막 유자 과즙이 이렇게 팍 튀는 그 모습이 연상될만큼 생과일 같다고 느꼈어요. 입에 침이 고일 정도로 새콤한 시트러스 향이랑 패티 그레인의 허보 향까지 더해져서 인공적이지 않은 분명한 신향이 오프닝을 열고요. 저한테는 그저 포카리 스웨트 향이었어요. 청량한데 뭔가 뿌옇고 물 향이랄까요. 그리고 솔티 노트가 있어서 푸른 지중해 바다가 연상되는 마린 바이브 솔티한 워터리 향조도 분명히 느껴지는데, 전반적으로 향이 굉장히 가볍고 깨끗하고 맑아서 시트러스는 마린 계열을 싫어하지 않는다면 크게 호보로 갈리지 않을 향이라고 생각을 했습니다."
샤넬 1957,"White Musk, Aldehydes, Bergamot, Pink Pepper, Coriander, White Musk, Orange Blossom, Jasmine, White Musk, Orris, Cashmeran, Honey, Cedar, Vanilla","프랑스의 우아함이랑 미국 감성이 섞인 듯한 향을 가지고 있습니다. 현대적이고 쉬운 편에 속하는 향으로, 샤넬 특유의 파우더리 향이 뭉근한 비누처럼 떠오릅니다. 부드럽게 청량 음료의 느낌이 나고, 핑크백 파랑 베르가모 쪽 번에 처음부터 약간 톡쏘는 느낌이 있습니다. 전체적으로 은은하고 깨끗한 화이트 머스크 향이 나며, 샤넬이 사랑하는 새하얀 진주처럼 정교하게 다듬어진 살 냄새입니다. 중성적인 향으로, 남녀 공용으로 사용할 수 있으며, 고급스러운 느낌이 특징입니다."
TOM FORD Rose Prick,"Sichuan Pepper, Turmeric, May Rose, Bulgarian Rose, Turkish Rose, Patchouli, Tonka Bean","첫향을 딱 뿌렸을 때는 되게 매웠어요. 스파이시한 향신료 냄새가 확 납니다. 장미향이라고 생각을 안 할 수도 있을 것 같아요. 장미향이 조금씩 올라오는데, '장미 딱 한 송이만 넣은 거 아닐까?'라는 생각을 했을 정도로, 장미향이 많이 느껴지진 않았어요. 장미향보다는, 패츌리향이 크게 느껴졌습니다. 특히 잔향으로 갈수록 달콤한 패츌리향이 극대화돼요. 이 씁쓸하고, 매캐하고, 톡 쏘는 꽃향기에 중독됩니다. 그래서 정말 존재감이 확실하고, 개성 있는 향수라는 생각이 들었어요."
겔랑 머스크 우트르블랑,"White Musk, Neroli, Ambrette (Musk Mallow), Iris, Orange Blossom, Bulgarian Rose, Milk, Sandalwood, White Amber","정말 깨끗한 향이라서 다 화이트로 맞췄습니다. 큐어하고 뽀얀 머스크인데 국물적인 꼬릿한 머스크는 전혀 안 느껴지고, 여러분이 생각하는 화이트 머스크가 이렇게 맑을 수 있다고 재밌다 이런 생각이 들거든요. 너무 맑고 고소하거든요. 우유 비누를 이렇게 밖에 손 씻는 거 같다는 생각도 들긴 했어요. 견과류의 고소함 말고 곡물류의 같은 그런 느낌 되게 파우더리하고, 빽빽한 머스크향은 아니에요. 공간감이 좀 느껴지는 약간 워터리하다고도 생각할 수 있는 그런 향이에요."
썽봉 베티버&아이리스,"Iris, Vetiver, Olive, Black Pepper, Nutmeg","신사적인 느낌이 들고, 남자분들이 많이 가는 힙한 편집샵의 이미지가 그려지기도 했어요. 이건 쉐이빙크랑 전혀 그런 민티한 느낌은 아니고, 바버샵 자주 가는 남자들 이런 느낌이 진짜 있다. 향수의 조합이 신사적이고 스타일리시한데, 깔끔함과 클래식함이 있는 향입니다."
비바라쥬시 핑크 꾸뛰르,"Mandarine, Pear, Jasmine, Rose, Peony, White Iris, Benzoine, Ambrox","수박 유자 딸기 바 느낌이에요. 뿌리자마자 새콤한 유자향이랑 수박 냄새가 은은한 연꽃향기랑 섞여서 나고, 새콤달콤한 딸기향이랑 물기 어린 수박향이 많이 느껴집니다. 핑크색의 샤베트 같은 간식이 떠오르는 오프닝이고, 시간이 지나면 여름 분위기가 있는 플로럴 향이 많이 느껴집니다. 잔향은 달달하고 귀여운 바닐라 향으로 마무리가 됩니다."
더 머천트 오브 베니스 교쿠로,"Neroli, Exotic Fruits, Black Pepper, Green Tea, Peach, Tuberose, Lotus, Sandalwood, Vetiver, Amber","복숭아 차 향이라고 할 수 있습니다. 뿌리자마자 녹차향이 은은하게 나고, 복숭아나 살구 냄새 같은 여러 가지 과일 향기들도 같이 나옵니다. 크리미한 튜베로즈 꽃 향기랑 샌달우드 향도 섞여 있어서, 마일드하고 정적인 느낌입니다. 통통 튀는 과일 향이나 상큼함을 별로 선호하지 않는 분들에게 적절할 것 같아요."
에르메스 운 자르뎅 수르 닐,"Grapefruit, Green Mango, Tomato, Carrot, Lotus, Bulrush, Orange, Hiacynth, Peony, Musk, Iris, Incense, Labdanum, Cinnamon","약간 덜 익은 자몽 껍질 냄새입니다. 진짜 자몽 껍질처럼 섞게 신맛을 잘 구현했다고 생각해요. 사과, 당근, 토마토 등 각종 과일과 녹황색 채소 리 믹서기에 넣고 갈아서 만든 주스에서 날 법한 향이 납니다. 맑고 투명한 향이에요. 잔향은 잔잔한 투명한 향이에요. 촉촉한 정원의 떠있는 연꽃이 연상되는 마무리가 됩니다."
크리드 오리지널 베티버,"Green Notes, Lemon, Ginger, Cypress, Vetiver, Coriander, Guaiac Wood, Cedarwood, White Musk","싱그러운 초록 허브향의 레몬그라스 함을 느꼈습니다. 불쾌지수가 낮아지는 기분이에요. 베티버 특유의 건초향과 샌달우드도 섞였습니다. 잔향은 비누향으로 남아요. 레몬그라스와 아로마오일, 풀 등을 잔뜩 넣어 만든 진녹색의 비누에서 날 법한 향기라고 할 수 있겠습니다."
마크제이콥스 스플래시 레인,"Cypress, Clementine, Strawberry, Passion Flower, Sunflower, Orchid, Teak Wood, Oakmoss, Musk, Amber",소나기가 개인 뒤의 촉촉한 물에 상쾌함을 표현한 향수입니다. 맑은 물 냄새에다가 약간 짓무른 딸기의 향기가 섞인 향입니다. 물 냄새를 싫어하는 사람이라면 밍밍한 소스에 절여 있는 오이의 향으로 느껴질 것 같고요. 투계 촉촉한 물기를 머금고 있는 개운함에 충분히 호감을 느끼실 겁니다.
아틀리에 코롱 클레망틴 캘리포니아,"Clementine, Mandarin Orange, juniper berry, Basil, Star Anise, Pepper, Cypress, Haitian Vetiver, Sandalwood",처음에 감귤 주스의 냄새가 느껴집니다. 잘 정제된 감귤 주스 같은 느낌이에요. 시간이 조금 지나면 베티버와 샌달우드 향이 은은하게 나는데요. 허브 향이 가미된 바디워시 향으로 느껴집니다.
톰포드 네롤리 포르토피노,"Bergamot, Mandarin Orange, Lemon, Bitter Orange, Lavender, Rosemary, Myrtle, African Orange Flower, Neroli, Jasmine, Pitosporum, Amber, Angelica, Ambrette (Musk Mallow)",왠지 파란색 소재 비누에서 날 법한 향으로 느껴져요. 아쿠아틱한 물 냄새입니다. 톡톡 비린내가 나는 것 전혀 아니고요. 생기있는 시트러스 네롤리 그 자체입니다.
엘리자베스아덴 그린티,"Lemon, Bergamot, Mint, Orange Peel, Rhubarb, Jasmine, Musk, Oakmoss, Fennel, Carnation, White Amber, Green Tea, Jasmine, Musk, Oakmoss, Celery Seeds, Caraway, Cloves, Amber","녹차 향기가 메인이고, 카페에서 파는 레몬이나 사이다 그린티 향료가 섞인 향입니다. 아주 진입장벽이 낮은 프레시안 향수입니다."
크리드의 러브인 라이트 포 썸머,"Calabrian bergamot, Magnolia, Bulgarian Rose, Rice, Tuscan Iris, Virginia Cedar, Apple, Ambergris, Sandalwood, Jasmine","이거는 딱 뿌리자마자 사과, 크랜베리, 레드베리, 복숭아 이런 여러가지 과일들이 깨끗한 물에 풍덩 빠진듯한 향기가 나요. 달달하면서 물 냄새가 섞인 과일향으로 시작을 하고 프리지아나 자스민 등의 예쁜 꽃향기랑 쌀 향조 특유의 뽀얗고 보들보들한 감성까지 느낄 수 있습니다."
산타마리아노벨라 멜로그라노,"Bergamot, Spices, Bitter Orange, Ylang-Ylang, Rose, Oakmoss, Labdanum, Patchouli, Musk",굉장히 스파이시한 비누 향이에요. 스파이시 계열에 익숙치 않은 분들은 이 향을 개피 비누향 같다라고 묘사하기도 하시는데요. 저한테는 약간 절에서 만든 비누향처럼 느껴져요. 동양의 어느 절에서 직접 제배한 약초나 허브 같은 걸로 만든 갈색 비누가 우디 향도 곁들여져서 빈티지하고 앤티크한 바이브가 느껴집니다.
크리드 러브 인 블랙,"Italian Violet, Virginia Cedar, Wildflowers, Iris, Musk, Cloves, Black Currant, Bulgarian Rose","시원하면서도 남녀 구분이 없는 향인데, 파우더리하고 포근한 느낌으로 다가옵니다. 알싸하게 코를 톡 쏘는 베리향이 있어요. 그 베리향이 화한 달콤함이라서 개운하다 느낄 수도 있을 것 같습니다. 전체적으로는 묵직한 향에 가까워요. 파우더리한 바이올렛 향이 부드럽게 퍼지고 절제된 레더 향기가 내리에 탁 박히는 향입니다."
푸에기아1833 무스카라 페로 제이,Vetiver,연하고 미니멀한 머스크 향입니다. 깨끗하다는 말로는 다 담을 수 없을 정도의 표한 살 냄새예요. 여러 개를 함께 뿌려서 레이어링하는 걸 즐기기에도 아주 좋은 향수입니다.
조말론 런던 머르 앤 통카,"Lavender, Myrrh, Tonka Bean, Vanilla, Almond","성스러운 느낌이 드는 우디 향인 머리랑 달콤하고 부드러운 통카 바닐라, 아몬드의 씁쓸 고소함이 만난 향입니다. 더스티 함도 살짝 섞여 있어, 조말론 향수에 대한 일반적인 편견과는 달리 지속력도 좋고 중후한 스타일이에요. 뿌리면 항상 차분한 기분으로 진중하게 그 날 하루를 보낼 수 있어요."
디올 그리디올,"Oakmoss, Rose, Patchouli, Bergamot, Amber, Cedar, Sandalwood",그리디올이 좀 달콤하고 럭셔리한 장미향인데 스모키한 오디향도 살짝 있어가지고 되게 화려하고 고급스러운 외모와 어울리면서도 좀 은근한 다크한 포스도 있는 사람에게 아주 제격인 향수라고 생각했습니다.
산타마리아노벨라 엔젤 디피렌체,"Jasmine, Cyclamen, Ylang-Ylang, Melon, Iris, Peach, Black Currant, White Musk, Vanilla, Precious Woods","엔젤 디 피렌체가 너무 선한 이미지의 향이긴 한데, 밝고 긍정적인 이미지를 연출할 때 정말 잘 어울릴 것 같아요."
에르메스의 H204,"Clary Sage, Narcissus, Palisander Rosewood, Sclarene",그게 좀 차갑다는 느낌이 들 정도로 냉한 풀향이 섞인 비누향이거든요. 그러면서도 중성적이고 깨끗하고 각잡혀 있는듯한 향이라서 이성적이고 철두철미하면서 흐트러짐 없는 사람과도 아주 잘 어울릴 것 같아요.
킬리안 우먼인 골드,"Bergamot, Mandarin Orange, Aldehydes, Vanilla Absolute, Rose, Geranium, Freesia, Marshmallow, Vanilla, Akigalawood, Tonka Bean, Patchouli, Musk",그 향은 딱 맡으면 비싼 여자 향수 냄새라는 생각이 바로 드는 고급지고 풍성한 꽃향기에다가 달달한 바닐라 향이 있었긴 향입니다.
로자 퍼퓸 엘리시움 뿌르옴므 코롱 ,"Grapefruit, Lemon, Bergamot, Lime, Thyme, Artemisia, Galbanum, Vetiver, Juniper Berries, Black Currant, Apple, Pink Pepper, Cedar, Cypriol Oil or Nagarmotha, Lily-of-the-Valley, Rose, Jasmine, Ambergris, Leather, Vanilla, Benzoin, Labdanum",딱 부와 성공한 남자 이런 이미지를 내뿜는 쿨한 향입니다. 
페넬리건스 오퍼스,"Pepper, Yuzu, Coriander, Cardamom, Bergamot, Juniper, Pink Pepper, Incense, Rose, Cinnamon, Orris Root, Virginia Cedar, Sandalwood, Musk, Amber, Vanilla, Leather",오퍼스가 너무 무겁지도 가볍지도 않은 우디 스파이시 향인데 클래식한 신사의 이미지가 제대로 느껴지거든요.
코리안더 39,"Lime, Cilantro, Aldehydes, Green Notes, Watery Notes, Floral Notes, Musk",고수 향이 직관적으로 느껴지진 않습니다. 왜 들풀 중에 좀 맵싹한 향이 나는 까칠한 들풀이 생각나요. 그 정도의 까칠한 그리너리 함이고 거기에 깨끗하게 물로 씻듯한 라임의 상큼함과 워터리함이 느껴집니다. 잔향은 차분한 플로럴 머스크향으로 마무리 돼서요. 처음부터 끝까지 크게 어렵지 않고 꽤나 웨어러합니다. 코를 탁 찌르는 스파이시함이 분명히 있긴 하지만 대놓고 고수 향이라기보단 방금 수확한 찬 잎이 떠오르는 향이에요. 딥티크 필러시술 아주 시트러스하고 그리너리해진 버전 같달까요.
빠 쓰 수아 엑스트레 엑스트레드퍼퓸,"Pear, Ginger, Mandarin Orange, Cacao Pod, Black Pepper, Quince, Peach, Moroccan Jasmine, Orange Blossom, Indonesian Patchouli Leaf, Cashmeran, Ambroxan, Benzoin, Vanilla",처음에 딱 뿌리자마자 달달한 모과청이 떠올랐어요 향긋한 모과를 꿀이나 시럽에 절이고 거기에 진저도 좀 썰어 놓고 블랙 페퍼도 살짝 뿌린 모습이 연상됐다 이을 자스민이 오렌지 블라썸 같은 흰 꽃들로 장식해 된다면은 딱 같은 흰 꽃들로 장식해 된다면은 딱 요런 향이 날 것 같아요. 전반적으로 굉장히 반짝반짝한 느낌이고 기분을 업시켜 주는 향이에요. 그래서 이 향을 뿌리면 마치 제가 파티에 가려고 반짝이는 파리의 밤거리를 걷고 있는듯한 그런 망상에 빠지게 돼요.
루즈 스모킹 오드 퍼피,"Cherry, Pink Pepper, Bergamot, Black Vanilla, Husk, Heliotrope, Orange Blossom, Tonka Bean, Cashmere Wood, White Musk, Ambroxan, Violet, Labdanum",이 향은 제가 개인적으로 좋아하는 섹시한 달콤함 어른의 과즙 향 요런 스타일이 제대로 표현된 향입니다. 루즈 스모킹을 상큼한 체리향으로 포문을 열어요 그리고 달콤함 바닐라랑 통카빈 향도 섞였는데 막 너무 답답할 정도로 찐득한 달콤함이 아니라 프레시한 베르 가목과 톡톡 튀는 핑크 페퍼 향이 섞여 있어서 생동감 넘치는 이미지입니다. 헬리오트로프 등의 꽃향기도 나는데요 정말 아티스틱한 길거리에서 그림을 그리면서 살아가는 치명적인 매력의 파리 지행이었어요.
부케드라이 오드,"Pear, Strawberry, Cassis, Turkish Rose, Jasmine Sambac, Lorenox, Musk, Amber, Cedar",정말 화사하고 은은한 플로의 머스키 향을 자랑하죠 핑크 빛깔의 터키시 로즈랑 자스민 부케향 그리고 스윗한 딸기 배 블랙커런트 향이 라이트하게 어울어지고 잔향에서 머스크 시더우드 엠버 향이 편안하게 남습니다. 여기서 느껴지는 맑은 꽃향기와 딸기의 조화가 너무 러블리 하다고 느껴져서요.
바이레도 펄프,"Black Currant, Bergamot, Cardamon, Fig, Red Apple, Tiare Flower, Praline, Peach Blossom, Cedar",이 펄프의 향은 여러가지 열대 과일들이 푸 후숙돼서 말랑말랑 해지고 농도 짙은 과즙까지 흐르는 상태가 됐을 때 큰 볼에 담아서 마구마구 섞고 있을 때 날법한 향이 났구요. 블랙커런트의 존재감이 큽니다. 여기서의 블랙커런트는 달달합니다.  풍성한 무화과 향이 나구나는 아닙니다. 
킬리안 스모킹핫,"Apple, Cinnamon, Smoke, Tobacco, Vanilla, Moss, Bourbon Vanilla, Orcanox™, Licorice, Iso E Super, Clary Sage","이 향은 퇴폐적인 사과 수증기향이에요. 어둡고 힙한 후카바 사과향 물담배를 피우는 냄새라고 말하고 싶습니다. 굉장히 풍부한 애플향이 나는데, 사과향이 아삭아삭하고 신선한 과일향은 아닌 것 같고, 뭔가 사과향 수증기 느낌이 나고, 스모키한 향도 나고요. 거기에 시나몬 향도 곁들여져 있어요. 절여져서 흐물흐물해진 사과에 시나몬 가루를 거칠게 팍팍 뿌린 느낌의 애플파이 향조가 느껴지고, 뭔가 술 한주로 곁들여 먹으면 잘 어울릴 것 같은 느낌입니다. 금요일 밤에 퇴폐적인 친구랑 만났을 때의 느낌을 준달까요? 섹시하고 향락적이지만 어딘가 비싼 바이브가 있는 향이라고 표현하고 싶습니다."
아뜰리에코롱 로즈 아노님,"Turkish Rose, Agarwood (Oud), Indonesian Patchouli Leaf, Papyrus, Somalian Opoponax, Benzoin, Ginger, Calabrian bergamot",짙은 붉은빛의 장미와 나뭇가지들을 졸여서 잼으로 만든듯한 향기입니다. 검붉고 딥하고 농도 짙은 장미향이 나면서 그게 그냥 달달하면서 끝나는 향은 아니에요. 우디향이랑 흙 묻은 약초 냄새 이런 것들도 같이 어우러져서 예쁘고 귀엽고 이런 느낌 전혀 아닙니다. 제가 약간의 메탈릭함도 같이 곁들여졌거든요. 전체적인 향의 분위기를 좀 시크하게 만들어 주거든요. 그래서 약간 서늘함도 있으면서 쌀쌀한 날씨에 어울리는 포근함도 공존하고 있는 그런 상반된 매력이 있는 향수로 느껴집니다.
아르마니 프리베 로즈 다라비,"Rose, Patchouli, Agarwood (Oud), Vanille",사막의 피어난 장미라고 할 수 있습니다. 되게 건조한 흙이나 모래향이 섞인 장미향인데 그게 완전 자연적인 느낌이 아니라 되게 화려한 느낌입니다. 게다가 씁쓸한 나무향도 많이 섞였거든요. 신비롭고 좀 쉽게 다가갈 수 없는 이미지를 뿜어내고 있습니다.
트루사로디 퓨어자스민,"Pistachio, Neroli, Bergamot, Jasmine, Champaca, Mugane, Vanilla, Sandalwood, Patchouli",달달하고 따스한 아몬드 우유에다 자스민을 가득 넣은듯한 향이에요. 되게 우아한 꽃 향기랑 달달하고 크리미한 아몬드 향기랑 피스타치오 향이나요. 피스타치오 아이스크림을 따스하게 만든 버전의 향수 같달까.
불리 밀러의 비너스,"Mandarin Orange, Magnolia, Jasmine, Amber",되게 뽀얗고 밀키한 부캐 향에다 새콤함을 제거한 만다린을 첨가한 느낌의 향입니다.
카너 베르셀로나 라틴러버,"Magnolia, Ylang-Ylang, Bergamot, Jasmine Sambac, Lily-of-the-Valley, French Narcissus, Violet, White Musk, Benzoin, Indonesian Patchouli Leaf","남미로 신혼여행을 간듯한 향, 수선화와 일랑일랑 몽련 요런 황홀한 화이트 플라워 향이 스윗하게 퍼지는데요. 좀 깨끗하면서도 도발적인 느낌이에요. 볼륨감이 드러나는 화이트 원피스를 입고 있을 때 날 법한 향이랄까요."
로에베 파울라이비지에클레틱,"Mandarin Orange, Pepper, Ylang-Ylang, Jasmine Sambac, Coconut, Orange Blossom, Olibanum, Incense, Australian Sandalwood, Vanilla, Musk",뜨거운 열정과 태양이 느껴지는 따스한 향이에요. 조합이 되게 독특하다고 느낀 향이었습니다.
구찌 웨어마이하트비츠,"Violet Leaves, Peonu, White Musk",되게 은은하고 소프트하지만 확실하게 고급스러움이 있는 향입니다. 부와 명예를 같이 가지고 있는 사람이 떠오르는 향입니다.
델리나 익스클루시브,"Litchi, Pear, Bergamot, Grapefruit, Pink Pepper, Middle Notes, Turkish Rose, Agarwood (Oud), Incense, Vanilla, Amber, Woody Notes, Musk, Vetiver, Evernyl",좀 더 달큰하고 좀 더 농축된 버전이라고 할 수 있어요. 엄청 예쁘고 화려하고 재력도 되는데 애교도 많은 느낌의 향입니다.
퍼퓸드말리 오리아나,"Mandarin Orange, Bergamot, Grapefruit, Orange Blossom, Raspberry, Black Currant, Whipped Cream, Marshamallow, Musk, Ambrette (Musk Mallow)","오렌지 꽃으로 만든 핑크색 머랭쿠키 향이라고 하고 싶습니다. 뽀용한 달달함이 느껴져요. 핑크핑크한 하이틴 무드, 바비 코어 등이 잘 어울립니다."
러시 아메리칸 크림,"Milk, Vanille, White Honey, Big Strawberry, Orange",미국 가정집에서 만든 바닐라 파우더가 있따면 이런 향일 것 같아요. 속칭 미국 냄새 스타일 좋아하시는 분들이라면 추천을 하고 싶은 향입니다.
줄리엣헤즈어건 바닐라바이브,"Salt, Vanilla Absolute, Orchid, Tonka Bean, Musk, Sandalwood, Benzoin",시원한 바닷바람과 약간 솔티함이 섞인 바닐라라 너무 무겁거나 덥지 않아요. 상쾌한 바다 바닐라!
줄리엣헤즈어건 러스트포썬,"Coconut, Freesia, Bergamot, Gardenia, Ylang-Ylang, Jasmine, Orange Blossom, White Musk, Ambroxan, Vanilla",여름 햇살 같은 따스한 코코넛 향이랑 오렌지 블라섬 일랑일랑이 어우러진 향기입니다. 되게 멋진 커리어 우먼이 루프탑 수영장으로 휴가가서 태닝하고 있는듯한 느낌의 향기 입니다.
더 머천트 오브 베니스 임페리얼 에메랄드,"Bergamot, Mandarin, Pink Pepper, Orris Accord, Ylang-Ylang, Rose, Jasmine, Tuberose, Orange Flower, White Amber, Benzoine, Vanilla, White Musk, Pachouli",처음에는 좀 경쾌하고 엣지는 시트러스 향으로 시작을 하고 곧이어서 파우더리한 오리스 정렬적인 바이브의 핑크 페퍼 향이 드러납니다. 그리고 일랑일랑 로즈 자스민 튜베로즈 이런 풍만한 화이트 플라워 향들이 그윽하게 퍼져요. 잔향에서 엠버 바닐라 파출리 머스크 요런 향들이 따뜻하게 피부를 감싸 주면서 마무리가 됩니다.
더 머천트 오브 베니스 통카 베네수엘라,"Tonka Bean, Vanilla",이거는 이름처럼 베네수엘라의 통화에서 영감받은 향인데요. 카의 콩을 건조시키고 로스팅을 하면은 중독적이면서도 구르망 kh 느낌의 향을 발현하는 수지를 얻을 수가 있다고 합니다. 그래서이 통카 베네수엘라에서 달콤한 코코와 혹은 원두 커피 카라멜 그리고 약간의 자연적인 얼씨지 또 같이 느껴집니다.
