향수_이름,향수_notes,향수_설명
루즈 스모킹 오드 퍼피,"Cherry, Pink Pepper, Bergamot, Black Vanilla, Husk, Heliotrope, Orange Blossom, Tonka Bean, Cashmere Wood, White Musk, Ambroxan, Violet, Labdanum",이 향은 제가 개인적으로 좋아하는 섹시한 달콤함 어른의 과즙 향 요런 스타일이 제대로 표현된 향입니다. 루즈 스모킹을 상큼한 체리향으로 포문을 열어요 그리고 달콤함 바닐라랑 통카빈 향도 섞였는데 막 너무 답답할 정도로 찐득한 달콤함이 아니라 프레시한 베르 가목과 톡톡 튀는 핑크 페퍼 향이 섞여 있어서 생동감 넘치는 이미지입니다. 헬리오트로프 등의 꽃향기도 나는데요 정말 아티스틱한 길거리에서 그림을 그리면서 살아가는 치명적인 매력의 파리 지행이었어요.
부케드라이 오드,"Pear, Strawberry, Cassis, Turkish Rose, Jasmine Sambac, Lorenox, Musk, Amber, Cedar",정말 화사하고 은은한 플로의 머스키 향을 자랑하죠 핑크 빛깔의 터키시 로즈랑 자스민 부케향 그리고 스윗한 딸기 배 블랙커런트 향이 라이트하게 어울어지고 잔향에서 머스크 시더우드 엠버 향이 편안하게 남습니다. 여기서 느껴지는 맑은 꽃향기와 딸기의 조화가 너무 러블리 하다고 느껴져서요.
바이레도 펄프,"Black Currant, Bergamot, Cardamon, Fig, Red Apple, Tiare Flower, Praline, Peach Blossom, Cedar",이 펄프의 향은 여러가지 열대 과일들이 푸 후숙돼서 말랑말랑 해지고 농도 짙은 과즙까지 흐르는 상태가 됐을 때 큰 볼에 담아서 마구마구 섞고 있을 때 날법한 향이 났구요. 블랙커런트의 존재감이 큽니다. 여기서의 블랙커런트는 달달합니다.  풍성한 무화과 향이 나구나는 아닙니다. 
킬리안 스모킹핫,"Apple, Cinnamon, Smoke, Tobacco, Vanilla, Moss, Bourbon Vanilla, Orcanox™, Licorice, Iso E Super, Clary Sage","이 향은 퇴폐적인 사과 수증기향이에요. 어둡고 힙한 후카바 사과향 물담배를 피우는 냄새라고 말하고 싶습니다. 굉장히 풍부한 애플향이 나는데, 사과향이 아삭아삭하고 신선한 과일향은 아닌 것 같고, 뭔가 사과향 수증기 느낌이 나고, 스모키한 향도 나고요. 거기에 시나몬 향도 곁들여져 있어요. 절여져서 흐물흐물해진 사과에 시나몬 가루를 거칠게 팍팍 뿌린 느낌의 애플파이 향조가 느껴지고, 뭔가 술 한주로 곁들여 먹으면 잘 어울릴 것 같은 느낌입니다. 금요일 밤에 퇴폐적인 친구랑 만났을 때의 느낌을 준달까요? 섹시하고 향락적이지만 어딘가 비싼 바이브가 있는 향이라고 표현하고 싶습니다."
아뜰리에코롱 로즈 아노님,"Turkish Rose, Agarwood (Oud), Indonesian Patchouli Leaf, Papyrus, Somalian Opoponax, Benzoin, Ginger, Calabrian bergamot",짙은 붉은빛의 장미와 나뭇가지들을 졸여서 잼으로 만든듯한 향기입니다. 검붉고 딥하고 농도 짙은 장미향이 나면서 그게 그냥 달달하면서 끝나는 향은 아니에요. 우디향이랑 흙 묻은 약초 냄새 이런 것들도 같이 어우러져서 예쁘고 귀엽고 이런 느낌 전혀 아닙니다. 제가 약간의 메탈릭함도 같이 곁들여졌거든요. 전체적인 향의 분위기를 좀 시크하게 만들어 주거든요. 그래서 약간 서늘함도 있으면서 쌀쌀한 날씨에 어울리는 포근함도 공존하고 있는 그런 상반된 매력이 있는 향수로 느껴집니다.
아르마니 프리베 로즈 다라비,"Rose, Patchouli, Agarwood (Oud), Vanille",사막의 피어난 장미라고 할 수 있습니다. 되게 건조한 흙이나 모래향이 섞인 장미향인데 그게 완전 자연적인 느낌이 아니라 되게 화려한 느낌입니다. 게다가 씁쓸한 나무향도 많이 섞였거든요. 신비롭고 좀 쉽게 다가갈 수 없는 이미지를 뿜어내고 있습니다.
트루사로디 퓨어자스민,"Pistachio, Neroli, Bergamot, Jasmine, Champaca, Mugane, Vanilla, Sandalwood, Patchouli",달달하고 따스한 아몬드 우유에다 자스민을 가득 넣은듯한 향이에요. 되게 우아한 꽃 향기랑 달달하고 크리미한 아몬드 향기랑 피스타치오 향이나요. 피스타치오 아이스크림을 따스하게 만든 버전의 향수 같달까.
불리 밀러의 비너스,"Mandarin Orange, Magnolia, Jasmine, Amber",되게 뽀얗고 밀키한 부캐 향에다 새콤함을 제거한 만다린을 첨가한 느낌의 향입니다.
카너 베르셀로나 라틴러버,"Magnolia, Ylang-Ylang, Bergamot, Jasmine Sambac, Lily-of-the-Valley, French Narcissus, Violet, White Musk, Benzoin, Indonesian Patchouli Leaf","남미로 신혼여행을 간듯한 향, 수선화와 일랑일랑 몽련 요런 황홀한 화이트 플라워 향이 스윗하게 퍼지는데요. 좀 깨끗하면서도 도발적인 느낌이에요. 볼륨감이 드러나는 화이트 원피스를 입고 있을 때 날 법한 향이랄까요."
로에베 파울라이비지에클레틱,"Mandarin Orange, Pepper, Ylang-Ylang, Jasmine Sambac, Coconut, Orange Blossom, Olibanum, Incense, Australian Sandalwood, Vanilla, Musk",뜨거운 열정과 태양이 느껴지는 따스한 향이에요. 조합이 되게 독특하다고 느낀 향이었습니다.
구찌 웨어마이하트비츠,"Violet Leaves, Peonu, White Musk",되게 은은하고 소프트하지만 확실하게 고급스러움이 있는 향입니다. 부와 명예를 같이 가지고 있는 사람이 떠오르는 향입니다.
델리나 익스클루시브,"Litchi, Pear, Bergamot, Grapefruit, Pink Pepper, Middle Notes, Turkish Rose, Agarwood (Oud), Incense, Vanilla, Amber, Woody Notes, Musk, Vetiver, Evernyl",좀 더 달큰하고 좀 더 농축된 버전이라고 할 수 있어요. 엄청 예쁘고 화려하고 재력도 되는데 애교도 많은 느낌의 향입니다.
퍼퓸드말리 오리아나,"Mandarin Orange, Bergamot, Grapefruit, Orange Blossom, Raspberry, Black Currant, Whipped Cream, Marshamallow, Musk, Ambrette (Musk Mallow)","오렌지 꽃으로 만든 핑크색 머랭쿠키 향이라고 하고 싶습니다. 뽀용한 달달함이 느껴져요. 핑크핑크한 하이틴 무드, 바비 코어 등이 잘 어울립니다."
러시 아메리칸 크림,"Milk, Vanille, White Honey, Big Strawberry, Orange",미국 가정집에서 만든 바닐라 파우더가 있다면 이런 향일 것 같아요. 속칭 미국 냄새 스타일 좋아하시는 분들이라면 추천을 하고 싶은 향입니다.
줄리엣헤즈어건 바닐라바이브,"Salt, Vanilla Absolute, Orchid, Tonka Bean, Musk, Sandalwood, Benzoin",시원한 바닷바람과 약간 솔티함이 섞인 바닐라라 너무 무겁거나 덥지 않아요. 상쾌한 바다 바닐라!
줄리엣헤즈어건 러스트포썬,"Coconut, Freesia, Bergamot, Gardenia, Ylang-Ylang, Jasmine, Orange Blossom, White Musk, Ambroxan, Vanilla",여름 햇살 같은 따스한 코코넛 향이랑 오렌지 블라섬 일랑일랑이 어우러진 향기입니다. 되게 멋진 커리어 우먼이 루프탑 수영장으로 휴가가서 태닝하고 있는듯한 느낌의 향기 입니다.
더 머천트 오브 베니스 임페리얼 에메랄드,"Bergamot, Mandarin, Pink Pepper, Orris Accord, Ylang-Ylang, Rose, Jasmine, Tuberose, Orange Flower, White Amber, Benzoine, Vanilla, White Musk, Pachouli",처음에는 좀 경쾌하고 엣지는 시트러스 향으로 시작을 하고 곧이어서 파우더리한 오리스 정렬적인 바이브의 핑크 페퍼 향이 드러납니다. 그리고 일랑일랑 로즈 자스민 튜베로즈 이런 풍만한 화이트 플라워 향들이 그윽하게 퍼져요. 잔향에서 엠버 바닐라 파출리 머스크 요런 향들이 따뜻하게 피부를 감싸 주면서 마무리가 됩니다.
더 머천트 오브 베니스 통카 베네수엘라,"Tonka Bean, Vanilla",이거는 이름처럼 베네수엘라의 통화에서 영감받은 향인데요. 카의 콩을 건조시키고 로스팅을 하면은 중독적이면서도 구르망 kh 느낌의 향을 발현하는 수지를 얻을 수가 있다고 합니다. 그래서이 통카 베네수엘라에서 달콤한 코코와 혹은 원두 커피 카라멜 그리고 약간의 자연적인 얼씨지 또 같이 느껴집니다.
조러브스 조 바이 조 러브스,"Grapefruit, Lime, Bitter Orange, Black Pepper, Vetiver, Mint, Guaiac Wood, Cedar, Hedione","씁스름한 자몽향이 나면서 베이스에 우디가 있어서 좋아요. 신기하다. 오렌지인데 백화점 오렌지예요. 현대 백화점에 가면 지하에 마트가 있잖아요, 거기에서 오렌지 포장 이렇게 막 해가지고 비싸게 그니까 그런 진짜 탐스럽게 잘 익은 주황색 시트러스 과일향이 처음에 퍼지는데 딱 그 상큼 씁쓸함이 너무 잘 표현이 됐고 뒤로 갈수록 자몽이나 오렌지에 달려 있는 가지나 이파리 그런 느낌도 살짝 그리너리하게 나고, 오렌지 수확할 때의 나무 상자같은 견고한 나무 냄새 우디 향도 베이스에 싹 깔려 있어요. 과즙 향이라는 게 아닌 거 같아요. 과즙 향은 분명 약간 촉촉하고 러블리하고 귀여운 느낌이 나야 되는데 얘는 세련됐고 되게 중성적이지. 탄 피부한테 엄청 잘 어울릴 것 같아요. 약간 캘리포니아 감성 쪽이요. 이 사람은 빨간 스포츠카 올 거 같은 약간 선글라스 하나 딱 끼고 그리고 캘리포니아의 그 오렌지 농장을 쫙 달리는 거죠."
안나수이 판타지아 머메이드,"Blood Orange, Cardamom, Mandarin Orange, Litchi, Peony, Jasmine, Honey, White Wood, Vanila","되게 유명하지 않은 비싼 니치 향수향이 나요. 되게 묘해요, 우아하고 고혹적이예요. 한편으로는 되게 고풍스럽게, 이게 옛날 옷장에서 날 것 같은, 그런 안나수이 풍이지만 엄청 과장되고 앤티크한 그게 그거대로 멋있어요. 향도 안나수이 향수라서 진짜 안나수이 풍인 거 같아요. 사람으로 따지자면, 되게 밝은 사람이 프릴 원피스를 입은 느낌?"
록시땅 시트러스 버베나,"Grapefruit, Lemon, Orange, Verbena, Rosemary, Rose, Musk, Amberwood","여름하면 제일 먼저 떠오르는 향 중 하나죠! 얘는 진짜 기분전환 확 되는 느낌이예요. 완전 비타민 C 포로 나오는 걸로 물에 풀어서 워터밤 총에 넣고 마구 뿌리는 느낌! 진짜 시원한 옷차림, 야외용 옷차림에 걸맞는 아주 가볍고 전혀 부담 없는 시원한 향기예요. 이 향을 뿌리는 사람은 약간, 세상 사람 다 친구인 극E 인간 이미지의 분이실 것 같아요. 파워 사교성과 밝음으로 무장한 사람의 느낌.. 인간 비타민! 축 처진 기분을 끌어올려 줄 수 있는 그런 활기가 있는 향이라고 생각이 들어요. 직관적인 레몬 냄새보다는 약간 더 자연적인 그 나뭇가지 향이, 잘 익은 프루티향이 섞여 있는 향이예요. 원색 옷에 매치하면 정말 잘 어울릴거예요! 옆에서 맡는 사람들이 더 좋아할 향수 같아요."
산타마리아노벨라 매그놀리아,"White Flower, Honey, Magnolia","핑크색 꽃이 생각나요. 봄날에 꽃이 만개한 목련 나무 밑에 있는듯한 기분을 들게 해주는 달콤하고 화사한 프루티 플로럴 향인데, 여기서 느껴지는 달콤함이 쿨한 달콤함이라 여름에 뿌려도 괜찮지 않을까라는 생각이 들어요. 한 마디로 정리하자면, 목련 나무 아래 그늘에 있는 느낌! 좀 청순한 이미지, 디즈니 그런 거 보면은 꽃 많고 막 궁전 이런 데서 새 날아와 있고 약간 그런 화사하고 달콤하고 귀족적인 그런 느낌 있잖아요. 잠 자는 숲 속의 공주가 떠오르는 향, 핑크색 옷을 입고 정원에 누워있는 공주의 느낌. 소개팅 때 뿌려도 잘 어울릴 것 같아요! 린넨 소재 민소매 원피스에 가디건 입고 뿌리고 한강 걸으면 잘 어울릴 것 같아요."
모노템 시클라미노,"Freesia, Apple, Black Currant, Cyclamen, Rose, Jasmine, Musk, Cedar, Amber",이 향수는 한 마디로 얘기할 수 있을 것 같아요. 데미소다 사과맛에 상추를 섞은 향입니다. 갓 재배해서 되게 싱싱한 상추랑 탄산이 가득하고 시원한 데미소다 사과맛을 함께 먹으면 여기서 나는 향이 나지 않을까라는 생각이 들었어요. 산뜻한 풀과 시트러스 과일 향이 잘 조화를 이뤄서 밝고 싱그러운 이미지를 연출해주는 향수예요. 햇살 좋은 날에 과일 바구니를 들고 잔디밭에 피크닉을 가면 날 것 같은 향으로 느껴지기도 합니다.
클린 리저브 테라 우드 EDP,"Jasmine Sambac, Geranium, Coconut, Woodsy Notes, Tonka Bean, Vanilla, Musk",북유럽의 숲속을 걷고 있을 때 불어오는 바람의 냄새를 담은 향수인데요. 실제로 냄새를 맡아 보면 확실히 나무 냄새가 나요. 숲속에서 느껴지는 풀과 이끼의 냄새나 바닥에 깔려있는 흙에 냄새는 잘 안 느껴지고 나무 둥치에 냄새가 많이 납니다. 울창한 숲속의 이미지라기보다는 나무가 많이 심어져 있는 도심 속의 공원의 이미지로 느껴집니다. 그리고 달콤한 바닐라향도 같이 느껴져요. 여기서 느껴지는 바닐라 향이 맑고 청결한 느낌이라서 비누나 섬유유연제의 느낌을 연상케 합니다. 달콤한 향이 나는 바디워시로 깨끗하게 샤워를 한 다음에 나무가 많이 심어져있는 길을 산책하고 있는 기분이 들어요.
돌체앤가바나 더원 포맨,"Grapefruit, Coriander, Basil, Cardamom, Ginger, Orange Blossom, Amber, Tobacco, Cedar","이 향수는 처음 뿌리면 시원한 남자 스킨 냄새와 생강 차 냄새 그리고 엠버 향이 같이 납니다. 시간이 좀 지나면 낡은 나무 냄새 같은 게 나요. 아마도 타바코 향조와 시더우드 향조가 어우러져 이런 오래 돼 가지고 부식된 목재 가구에서 날 것 같은 냄새가 나는 것 같아요. 물에 젖거나, 오래돼서 부식된 목재 가구에게서 날 것 같은 향이랄까요."
모스키노 아이 러브러브,"Grapefruit, Orange, Lemon, Red Currant, Sugar Cane, Bulrush, Lily-of-the-Valley, Tea Rose, Cinnamon, Musk, Cedar, Thanaka Wood",아주 시원하고 중성적인 오렌지향이 나는 제품이에요. 우리가 알고 있는 가장 흔하고 받아들이기 쉬운 여름용 시트러스 향을 예상하시면 될 것 같습니다.
페라가모 인칸토 참 EDT,"Passionfruit, Honeysuckle, Rose, Jasmine, Musk, Woodsy Notes",청포도 사탕에다가 개운한 샴푸 향기를 섞은 향입니다. 아주 시원하고 상큼발랄해서 여름에 정말 잘 어울리는 것 같아요!
엘리자베스 아덴 화이트 티,"Sea Notes, Fern, Mandarin Orange, Clary Sage, White Tea, White Iris, Mate, Exotic Woods, Ambrette (Musk Mallow), Tonka Bean, Amber",처음에 딱 맡을 때는 중성적인 시트러스 향에다 약간 인공적인 파우더향을 섞은 향이라고 느껴졌었어요. 하지만 시간이 조금 지나면 차향이 느껴지는데 약간 밀크티 중에서도 당도가 굉장히 낮고 우유도 적게 들어가고 물은 많이 들어가서 좀 희석이 많이 된 것 같은 느낌을 느꼈습니다. 향이 매우 은은해요!
끌로에 오드뚜왈렛,"Watermelon, Mandarin Orange, Pink Pepper, Tincture of Rose, Freesia, Iris, Sandalwood, Tonka Bean",아주 고급진 장미비누 향이 나는데요. 백장미가 떠오르는 향입니다. 초여름 즈음에 이파리들이랑 백장미가 피어 있을 때 날 것 같은 향으로 느껴지기도 해요. 약간 청초한 이미지가 있어요.
플로리스 런던 화이트 로즈,"Aldehydic, Carnation, Green, Iris, Rose, Jasmine, Violet, Amber, Musk, Powdery Notes",이 향은 아주 퓨어한 이미지의 순백의 장미가 떠오르는 향이거든요. 막 검붉고 가시 도친 장미 말고요 부드러운 흰 장미의 꽃잎만 떼서 그걸로 우유 비누를 만든다면 딱 이런 향이 날 것 같습니다. 상냥하고 마일드한 이미지에 은은한 향이라서 서비스직이나 실내에서 일하는 분들 혹은 학생 분들에게까지 두루두루 잘 어울릴 것 같습니다.
플로리스 런던 넘버 007,"Geranium, Bergamot, Sweet Orange, Juniper,  Carnation, Rose, Rosemary, Sandalwood, Oakmoss, Amber, Musk",이 향은 가을 겨울에 특히 잘 어울릴 것 같아요! 마치 제임스 본드가 블랙이나 딥한 브라운 컬러의 수트를 딱 입고 있는 모습을 연상케 하는 향이에요. 그만큼 분위기 있고 강인한 매력을 가진 사람에게 잘 어울릴 것 같습니다. 전체적으로 샌달우드 향이랑 엠버 향이 많이 나는 엠버 우디 계열의 향인데요. 향이 약간 이국적인 장소들의 장엄한 느낌을 자아냅니다. 비밀스러운 관능미가 있는 젠틀맨 혹은 분위기 있고 이국적인 향을 좋아하는 여자분들께 추천드려요.
플로리스 런던 부케 드 라렌,"Violet Leaf, Peach, Bergamot, Cassis, Lily-of-the-Valley, Jasmine, Rose, Tuberose, Ylang-Ylang, Oakmoss, Sandalwood, Vanilla",정말 정석적인 예쁜 부케 향이예요. 촉촉한 꽃들이 모여 있는듯한 물기 있는 플로럴 향이 지배적이고 달콤한 플로럴 향이 지배적이고 달콤한 과일향도 곁들어져 있어서 개인적으로 이 향이 왕실에서만 사용되는 달콤한 향의 샴푸나 바디 워시가 있다면 딱 이런 향이지 않을까라는 생각이 들게 하더라고요. 럭셔리하지만 어렵지 않게 쓸 수 있는 프루티 플로럴 향을 찾는 분들에게 추천을 하고 싶습니다.
플로리스 런던 스페셜 넘버 127,"Bergamot, Lavender, Petitgrain, Orange, Neroli, Geranium, Rose, Ylang-Ylang, Patchouli, Musk",확실히 중성적이고 신사적인 이미지가 있긴 한데 남자 스킨 냄새가 강하게 나는 스타일이 전혀 아니예요. 저한테 이 향은 앤티크하면서 고급스러운 분위기의 바버샵에서 사용하는 비누향처럼 느껴졌어요. 뿌리자마자 라벤더 향이 편안하게 느껴지고 너무 톡 쏘지 않은 시트러스 향이랑 네롤리 향도 꽤 느껴집니다. 중성적인 시트러스 허브향을 좋아하시는 분들이라면 추천합니다!
플로리스 런던 릴리,"Watery Notes, White Tea, Lily of the Valley, Jasmine, Bulgarian Rose, Ylang-Ylang, White Musk, Cedar",은방울 꽃들이 막 만발해 있고 그 사이에 장미나 자스민 일랑일랑 이런 꽃들이 드물게 피어져 있는 모습이 떠올라요. 전체적으로 푸릇하고 신선한 식물의 달콤한 이슬이 어려 있는 이미지로 다가온 향수입니다.
플로리스 런던 세피로,"Bergamot, Amalfi Lemon, Orange, Mandarin Orange, Lime, Jasmine, Nutmeg, Cardamom, Sandalwood, Musk, Virginia Cedar",개운하고 부담없는 스킨향이랑 시트러스향의 조합을 선호하셨던 분들에게 특히 추천드려요. 정말 지중해 안뜰에 앉아 있을 때 불러오는 산들바람 같은 향입니다.
조말론 잉글리시 페어 앤 프리지아,"Pear, Melon, Freesia, Rose, Musk, Patchouli, Rhuburb, Amber",화이트 프리지아 부케 향에다 잘 익은 배의 향이 곁들여져서 지적인 이미지를 자아내는 향수예요.
조말론 우드 세이즈 앤 씨 솔트,"Sea Salt, Sage, Grapefruit, Ambrette (Musk Mallow), Seaweed",소금기를 머금은 신선한 바다 공기에 세이지라는 허브향과 우디한 흙 내음이 어우러진 향이예요.
조말론 라임 바질 앤 만다린,"Lime, Mandarin Orange, Bergamot, Basil, Thyme, Lilac, Iris, Vetiver, Patchouli",톡 쏘는 라임 향에 약간 이국적인 바질향 그리고 깨끗한 백리향이 더해져서 아주 독보적인 시트러스 향을 완성한 향수죠.
조말론 넥타린 블로썸 앤 허니,"Green Notes, Black Currant, Petitgrain, Nectarine, Black locust, Peach, Plum, Vetiver",아카시아 꿀에 천도 복숭아가 푹 빠진 듯한 달달한 향기입니다.
케이트 스페이드 뉴욕 케이트 스페이드 오드퍼퓸,"Wild Strawberry, Citruses, Bergamot, Rose, Freesia, Ambroxan, Cashmeran","딸기가 터지는 그런 느낌인데, 생과일 딸기는 전혀 아니고 딸기 샴푸 같은 느낌이에요. 첫 향은 되게 과즙이 팡! 터지는 느낌인 데에 비해서 잔향은 잔잔하고 포근하게 마무리 돼요. 키크고 마른 사람이 연상되는 느낌이예요! 상큼 달달 귀여운, 기분 좋은 학생 분들 저격 향수 같아요."
자라 체리스무디,"Cherry, Almond, Plum, Peru Balsam, Heliotrope, Hawthorn, Vanilla, Tonka Bean",이 체리스무디의 첫 향은 Tootsie Pop 체리맛 사탕을 응축한 것 같은 향입니다. 그리고 곧 이어서 검붉은 자두의 향과 달달한 바닐라향 그리고 약간의 아몬드 향도 함께 어우러집니다. 근데 좀 더 시간이 지나면 체리스무디에서 꿀 향이 많이 나요.
산타마리아노벨라 친칸타,"Gardenia, Tiare Flower, Orange Blossom, Green Tea, Woody Notes, Cashmere Wood, White Musk, Woody Notes, Amber","가벼운 메론향과 함께 맑은 물 위에 띄어져있는 흰 꽃들이 연상 돼요. 생과일의 향보다는, 멜론이 들어간 오이 비누 향에 좀 더 가까워요. 물 향이 많이 들어간 과일 향이 나요. 그러면서도 비누가 생각날 정도로 부드러운 질감도 공존합니다. 소프트하면서도 상쾌하죠. 향을 맡았을 때 느껴지는 이미지는 생긴건 부드럽고 순둥순둥한데 성격은 생기있고 에너제틱한 취미를 가지고 있는 사람이 떠올랐어요! 비누처럼 깨끗한 향이 은은하게 풍기는 사람이 생각나기도 하고요."
불리 콩콩브르,"Cucumber, Musk, Mint","이 콩콩브르는 인공적이지 않은 메론향이라고 할 수 있습니다. 오이랑 메론을 넣은 연두빛 투명한 물 혹은 멜론이랑 오이, 막 각종 허브들로 만든 냉채 느낌의 향기입니다. 오이나 메론 같은 과일과 채소의 원물의 향을 직관적으로 구현하고자 한 느낌이죠. 은은하고 가벼운 향수예요."
SW 19 6AM,"Anise, Bergamot, Grapefruit, Clary Sage, Cardamom, Basil, Wormwood, Cedarwood, Musk","안개 낀 새벽의 영국 숲을 연상시키는 향기로, 좀 어둑어둑하고 안개가 자욱해서 약간 축축한 공기가 감도는 숲에서 날법한 잔디와 나무, 이끼 냄새가 한데 어우러졌습니다. 고요하고 톤이 낮은 그리너리한 느낌이 있어요. 저는 오히려 쑥냄새가 더 느껴진달까요? 그래서 오히려 동양적인 무드로 느껴지기도 합니다. 사람으로 따지자면 약간 말수도 적고 화려한 외모를 가지지 않았지만, 자기만의 신비로운 매력이 있는 사람의 느낌이예요. 옷도 베이직하게 잘 입는 사람이 될 수 있을 것 같은 느낌의 향입니다."
아로 니티 허그,"Aldehydic, Citrus, Ambrette, Cotton Flower, Heliotrope, White Rose, Cedar Wood, White Musk, Woody Notes","새하얀 눈 속에서 니트를 두르고 있는 느낌이 연상돼요. 처음에 이 향을 딱 두르면, 볕에 빳빳하게 잘 마른 빨래에서 날 법한 알데하이드 향이 나고, 겨울 바람처럼 약간 시린 느낌이 같이 나요. 그리고 곧이어서 두툼한 니트처럼 포근한 코튼 향과 화이트 마스크 향이 함께 납니다. 첫향에 시린 느낌이 있고 잔향으로 가서 포근해진다느 느낌을 받았어요. 이 향수는 오히려 추운 계절에도 칙칙해지지 않는, 검은 색 롱패딩보다는 흰 색 복슬복슬한 니트 소재 옷을 입을 것 같은 사람이 뿌릴 것 같은 향 같다고 느껴졌어요. 외모도 성격도 편안한 사람이 떠오릅니다."
나르시소 로드리게즈 퓨어머스크,"Musk, Flowers, Cashmeran","꽤 중성적인 향입니다. 비누향 같은데 방금 빤 옷을 입은 그 뽀송한 냄새도 나오고, 그 단정한 느낌 깨끗한 냄새도 나오고, 그 다정하고 포근한 이미지 가진 사람이 뿌리면 딱 좋다고 생각을 했어요. 예를 들면 교회 오빠, 전교 회장, 그래서 많은 이들에게 친절한, MBTI로 따지면 엔프제 같은 느낌? 부드럽고 살냄새 같은 머스크향이 나요."
메종 마르지엘라 레플리카 재즈클럽,"Pink Pepper, Neroli, Lemon, Rum, Java vetiver oil, Clary Sage, Tobacco Leaf, Vanilla Bean, Styrax",정말로 내가 어느 분위기 있는 째즈바에 와 있는 느낌이 듭니다. 약간은 습하고 어두컴컴한 지하 재즈바에 들어간 다음에 약간은 끈적이고 낡은 원목 테이블에 앉아서 술을 마실 때 날 것 같은 냄새로 느껴집니다. 역하지 않은 위스키 냄새랑 달달한 초콜렛 및 바닐라 향기가 많이 느껴져요.
메종 마르지엘라 레플리카 선데이 모닝,"Aldehydes, Lily-of-the-Valley, Pear, Rose, Iris, Orange Blossom, White Musk, Ambrette (Musk Mallow), Indonesian Patchouli Leaf","이 향수는 일요일 아침에 이불 속에서 게으름을 피우고 있는 여가 시간을 표현한 향입니다. 깨끗한 빨래 향으로도 잘 알려져 있는데요, 느낌은 하우스 키퍼가 이제 막 다녀가서 방금 새 것으로 교체된 호텔 침구 냄새 입니다. 화학 성분이 들어간 세제를 사용해서 아주 청결하고 완벽하게 관리한 호텔 이불을 덮었을 때 날 것 같은 냄새요. 전반적으로 빳빳한 머스크 향과 핑크색 섬유유연제 향이 함께 나는 향수예요."
디에스앤더가 카우보이 그라스,"Vetyver, Clary Sage, Thyme, Sage","MBTI의 ENTP 같이 자유분방하면서 자기 주장이 확고한 사람을 떠올리게 하는 향수인 것 같아요. 서부 영화에 나오는 모래바람이 불고 건초가 굴러가는 풍경이 그려지는 향이예요. 풀과 곡식 등을 넣어둔 우드 마구간 같은 느낌도 들고요. 스킨향이 살짝 나서 시원해 보이기도 하고, 카우보이들처럼 개척자의 느낌이 있는 것 같아요. 자기가 원하는 것이 있으면 훅 떠나 버릴 것 같은 느낌의 사람이 잘 어울릴 것 같습니다."
메종크리벨리 브와 닷챠이,"Virginia Cedar, Black Currant, Black Tea, Papyrus, Incense, Guaiac Wood, Cinnamon, Patchouli","산속에서 야생베리를 수확하면서 스파이시하고 스모키한 홍차를 마시는 순간, 깊은 산 속에서 타닥타닥 나뭇잎을 태우고 있을 때 날 법한 스모키한 우디향이랑 차이티 향이 뿌리자마자 납니다. 그리고 블랙베리의 향도 은근하게 나는데요. 야생 블랙베리를 수확하고 있는 기분이 드는 자연적이고 많이 달지 않은 그런 베리 향이 살짝 섞였습니다. 숲속의 평화로운 모습이 너무 잘 표현이 됐습니다."
바이레도 인플로레센스,"Pink Freesia, Rose, Lily-of-the-Valley, Magnolia, Jasmine",냄새를 맡자마자 엄청 큰 꽃다발을 이렇게 코에 갖다 대는 듯한 부드러운 냄새가 들었거든요. 느낌이 들판을 걷다가 눈에 보이는 꽃들을 다 뽑고 풀도 뽑고 해서 정말 큰 바구니에 담았을 때 그 큰 꽃바구니에서 날 것 같은 냄새로 느껴집니다. 꽃잎의 보들보들한 촉감이 연상될 정도로 정말 생생하고 강력한 생화 향으로 다가와요. 누가 내 얼굴에 꽃을 막 던지는 것 같은 느낌? 식물의 줄기같이 물기를 머금은 듯한 풀 비린내도 함께 납니다. 여기 이 풀 비린내에서 약간 달짝지근한 파우더리함 같은 것도 섞여있더라구요. 물론 이 제품의 향 자체는 아주 은은하고 신선한 향이에요. 진짜 꽃 향기가 그리울 때 생각날 것 같은 향입니다.
조말론 레드 로즈,"Lemon, Mint, Bulgrian Rose, Violet Leaf, Beeswax",붉은 생장미에 코 박으면 날 것 같은 향입니다. 장미 꽃잎과 싱싱한 풀 줄기 향만 나더라구요. 다른 것들 섞이지 않은 정직하고 깔끔한 생장미 향이고 생화 특유의 쎄하고 꼬릿한 냄새까지 나는 정직하고 깔끔한 느낌의 생장미 향입니다. 전체적으로 어렵지 않고 자연적인 형이고요 가장 생장미 향을 잘 구현한 향수라고 생각합니다.
딥티크 오로즈 오드퍼퓸,"Litchi, Black Currant, Bergamot, Rose, Geranium, Jasmine, Musk, Virginia Cedar, White Honey",장미향에 달달한 리치 냄새와 정원같은 푸릇푸릇한 그리너리함 그리고 캐모마일 향도 함께 납니다.
