영상제목,URL,향수_이름,향수_name,향수_notes,향수_설명
연진이는 디올 향수지~💎더 글로리 캐릭터별 향수 추천,https://www.youtube.com/watch?v=O6eQr2OeugA,로자 퍼퓸 엘리시움 뿌르옴므 코롱 ,Elysium Pour Homme Parfum Cologne Roja Dove,"Grapefruit, Lemon, Bergamot, Lime, Thyme, Artemisia, Galbanum, Vetiver, Juniper Berries, Black Currant, Apple, Pink Pepper, Cedar, Cypriol Oil or Nagarmotha, Lily-of-the-Valley, Rose, Jasmine, Ambergris, Leather, Vanilla, Benzoin, Labdanum",딱 부와 성공한 남자 이런 이미지를 내뿜는 쿨한 향입니다. 
연진이는 디올 향수지~💎더 글로리 캐릭터별 향수 추천,https://www.youtube.com/watch?v=O6eQr2OeugA,페넬리건스 오퍼스,Opus 1870 Penhaligon's,"Pepper, Yuzu, Coriander, Cardamom, Bergamot, Juniper, Pink Pepper, Incense, Rose, Cinnamon, Orris Root, Virginia Cedar, Sandalwood, Musk, Amber, Vanilla, Leather",오퍼스가 너무 무겁지도 가볍지도 않은 우디 스파이시 향인데 클래식한 신사의 이미지가 제대로 느껴지거든요.
올해 르라보 한정판=고수향 향수💦시티 익스클루시브 '코리안더 39' 리뷰,https://www.youtube.com/watch?v=31E-CXxBcvU,코리안더 39,Coriandre 39 Le Labo,"Lime, Cilantro, Aldehydes, Green Notes, Watery Notes, Floral Notes, Musk",고수 향이 직관적으로 느껴지진 않습니다. 왜 들풀 중에 좀 맵싹한 향이 나는 까칠한 들풀이 생각나요. 그 정도의 까칠한 그리너리 함이고 거기에 깨끗하게 물로 씻듯한 라임의 상큼함과 워터리함이 느껴집니다. 잔향은 차분한 플로럴 머스크향으로 마무리 돼서요. 처음부터 끝까지 크게 어렵지 않고 꽤나 웨어러합니다. 코를 탁 찌르는 스파이시함이 분명히 있긴 하지만 대놓고 고수 향이라기보단 방금 수확한 찬 잎이 떠오르는 향이에요. 딥티크 필러시술 아주 시트러스하고 그리너리해진 버전 같달까요.
요즘 내가 지인들한테 영업하는 향기🤭 BDK 향수 베스트셀러&찐추천템 리뷰,https://www.youtube.com/watch?v=AA8JbXRlgmo,빠 쓰 수아 엑스트레 엑스트레드퍼퓸,Pas Ce Soir Extrait BDK Parfums,"Pear, Ginger, Mandarin Orange, Cacao Pod, Black Pepper, Quince, Peach, Moroccan Jasmine, Orange Blossom, Indonesian Patchouli Leaf, Cashmeran, Ambroxan, Benzoin, Vanilla",처음에 딱 뿌리자마자 달달한 모과청이 떠올랐어요 향긋한 모과를 꿀이나 시럽에 절이고 거기에 진저도 좀 썰어 놓고 블랙 페퍼도 살짝 뿌린 모습이 연상됐다 이을 자스민이 오렌지 블라썸 같은 흰 꽃들로 장식해 된다면은 딱 같은 흰 꽃들로 장식해 된다면은 딱 요런 향이 날 것 같아요. 전반적으로 굉장히 반짝반짝한 느낌이고 기분을 업시켜 주는 향이에요. 그래서 이 향을 뿌리면 마치 제가 파티에 가려고 반짝이는 파리의 밤거리를 걷고 있는듯한 그런 망상에 빠지게 돼요.
요즘 내가 지인들한테 영업하는 향기🤭 BDK 향수 베스트셀러&찐추천템 리뷰,https://www.youtube.com/watch?v=AA8JbXRlgmo,루즈 스모킹 오드 퍼피,Rouge Smoking BDK,"Cherry, Pink Pepper, Bergamot, Black Vanilla, Husk, Heliotrope, Orange Blossom, Tonka Bean, Cashmere Wood, White Musk, Ambroxan, Violet, Labdanum",이 향은 제가 개인적으로 좋아하는 섹시한 달콤함 어른의 과즙 향 요런 스타일이 제대로 표현된 향입니다. 루즈 스모킹을 상큼한 체리향으로 포문을 열어요 그리고 달콤함 바닐라랑 통카빈 향도 섞였는데 막 너무 답답할 정도로 찐득한 달콤함이 아니라 프레시한 베르 가목과 톡톡 튀는 핑크 페퍼 향이 섞여 있어서 생동감 넘치는 이미지입니다. 헬리오트로프 등의 꽃향기도 나는데요 정말 아티스틱한 길거리에서 그림을 그리면서 살아가는 치명적인 매력의 파리 지행이었어요.
요즘 내가 지인들한테 영업하는 향기🤭 BDK 향수 베스트셀러&찐추천템 리뷰,https://www.youtube.com/watch?v=AA8JbXRlgmo,부케드라이 오드,Bouquet De Hongrie BDK,"Pear, Strawberry, Cassis, Turkish Rose, Jasmine Sambac, Lorenox, Musk, Amber, Cedar",정말 화사하고 은은한 플로의 머스키 향을 자랑하죠 핑크 빛깔의 터키시 로즈랑 자스민 부케향 그리고 스윗한 딸기 배 블랙커런트 향이 라이트하게 어울어지고 잔향에서 머스크 시더우드 엠버 향이 편안하게 남습니다. 여기서 느껴지는 맑은 꽃향기와 딸기의 조화가 너무 러블리 하다고 느껴져서요.
"요즘 제일 많이 쓴 향수, 삶의질 상승템, 넷플릭스 매운맛 리얼리티까지💛  | 미지의세계 MIJI",https://www.youtube.com/watch?v=YbgX_y6-a7w,바이레도 펄프,Pulp Byredo,"Black Currant, Bergamot, Cardamon, Fig, Red Apple, Tiare Flower, Praline, Peach Blossom, Cedar",이 펄프의 향은 여러가지 열대 과일들이 푸 후숙돼서 말랑말랑 해지고 농도 짙은 과즙까지 흐르는 상태가 됐을 때 큰 볼에 담아서 마구마구 섞고 있을 때 날법한 향이 났구요. 블랙커런트의 존재감이 큽니다. 여기서의 블랙커런트는 달달합니다.  풍성한 무화과 향이 나구나는 아닙니다. 
"요즘 핫한 신상 향수들❤️‍🔥 킬리안 스모킹핫, 구찌 플로라 고저스 매그놀리아, 푸에기아1833 무스카라 페로제이",https://www.youtube.com/watch?v=yvOypcJOb4w,킬리안 스모킹핫,Smoking Hot By Kilian,"Apple, Cinnamon, Smoke, Tobacco, Vanilla, Moss, Bourbon Vanilla, Orcanox™, Licorice, Iso E Super, Clary Sage","이 향은 퇴폐적인 사과 수증기향이에요. 어둡고 힙한 후카바 사과향 물담배를 피우는 냄새라고 말하고 싶습니다. 굉장히 풍부한 애플향이 나는데, 사과향이 아삭아삭하고 신선한 과일향은 아닌 것 같고, 뭔가 사과향 수증기 느낌이 나고, 스모키한 향도 나고요. 거기에 시나몬 향도 곁들여져 있어요. 절여져서 흐물흐물해진 사과에 시나몬 가루를 거칠게 팍팍 뿌린 느낌의 애플파이 향조가 느껴지고, 뭔가 술 한주로 곁들여 먹으면 잘 어울릴 것 같은 느낌입니다. 금요일 밤에 퇴폐적인 친구랑 만났을 때의 느낌을 준달까요? 섹시하고 향락적이지만 어딘가 비싼 바이브가 있는 향이라고 표현하고 싶습니다."
"우디,풀향이 섞인💗남녀공용 장미향 향수들 추천",https://www.youtube.com/watch?v=JlPmIBxS8Wo,아뜰리에코롱 로즈 아노님,Rose Anonyme Atelier Cologne,"Turkish Rose, Agarwood (Oud), Indonesian Patchouli Leaf, Papyrus, Somalian Opoponax, Benzoin, Ginger, Calabrian bergamot",짙은 붉은빛의 장미와 나뭇가지들을 졸여서 잼으로 만든듯한 향기입니다. 검붉고 딥하고 농도 짙은 장미향이 나면서 그게 그냥 달달하면서 끝나는 향은 아니에요. 우디향이랑 흙 묻은 약초 냄새 이런 것들도 같이 어우러져서 예쁘고 귀엽고 이런 느낌 전혀 아닙니다. 제가 약간의 메탈릭함도 같이 곁들여졌거든요. 전체적인 향의 분위기를 좀 시크하게 만들어 주거든요. 그래서 약간 서늘함도 있으면서 쌀쌀한 날씨에 어울리는 포근함도 공존하고 있는 그런 상반된 매력이 있는 향수로 느껴집니다.
"우디,풀향이 섞인💗남녀공용 장미향 향수들 추천",https://www.youtube.com/watch?v=JlPmIBxS8Wo,아르마니 프리베 로즈 다라비,Armani Privé Rose d'Arabie Giorgio Armani,"Rose, Patchouli, Agarwood (Oud), Vanille",사막의 피어난 장미라고 할 수 있습니다. 되게 건조한 흙이나 모래향이 섞인 장미향인데 그게 완전 자연적인 느낌이 아니라 되게 화려한 느낌입니다. 게다가 씁쓸한 나무향도 많이 섞였거든요. 신비롭고 좀 쉽게 다가갈 수 없는 이미지를 뿜어내고 있습니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,트루사로디 퓨어자스민,Pure Jasmine Trussardi,"Pistachio, Neroli, Bergamot, Jasmine, Champaca, Mugane, Vanilla, Sandalwood, Patchouli",달달하고 따스한 아몬드 우유에다 자스민을 가득 넣은듯한 향이에요. 되게 우아한 꽃 향기랑 달달하고 크리미한 아몬드 향기랑 피스타치오 향이나요. 피스타치오 아이스크림을 따스하게 만든 버전의 향수 같달까.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,불리 밀러의 비너스,Eau Triple Ambre de Madagascar Buly 1803,"Mandarin Orange, Magnolia, Jasmine, Amber",되게 뽀얗고 밀키한 부캐 향에다 새콤함을 제거한 만다린을 첨가한 느낌의 향입니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,카너 베르셀로나 라틴러버,Latin Lover Carner Barcelona,"Magnolia, Ylang-Ylang, Bergamot, Jasmine Sambac, Lily-of-the-Valley, French Narcissus, Violet, White Musk, Benzoin, Indonesian Patchouli Leaf","남미로 신혼여행을 간듯한 향, 수선화와 일랑일랑 몽련 요런 황홀한 화이트 플라워 향이 스윗하게 퍼지는데요. 좀 깨끗하면서도 도발적인 느낌이에요. 볼륨감이 드러나는 화이트 원피스를 입고 있을 때 날 법한 향이랄까요."
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,로에베 파울라이비지에클레틱,Paula's Ibiza Eclectic Loewe,"Mandarin Orange, Pepper, Ylang-Ylang, Jasmine Sambac, Coconut, Orange Blossom, Olibanum, Incense, Australian Sandalwood, Vanilla, Musk",뜨거운 열정과 태양이 느껴지는 따스한 향이에요. 조합이 되게 독특하다고 느낀 향이었습니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,구찌 웨어마이하트비츠,Where My Heart Beats Gucci,"Violet Leaves, Peonu, White Musk",되게 은은하고 소프트하지만 확실하게 고급스러움이 있는 향입니다. 부와 명예를 같이 가지고 있는 사람이 떠오르는 향입니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,델리나 익스클루시브,Delina Exclusif Parfums de Marly,"Litchi, Pear, Bergamot, Grapefruit, Pink Pepper, Middle Notes, Turkish Rose, Agarwood (Oud), Incense, Vanilla, Amber, Woody Notes, Musk, Vetiver, Evernyl",좀 더 달큰하고 좀 더 농축된 버전이라고 할 수 있어요. 엄청 예쁘고 화려하고 재력도 되는데 애교도 많은 느낌의 향입니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,퍼퓸드말리 오리아나,Oriana Parfums de Marly,"Mandarin Orange, Bergamot, Grapefruit, Orange Blossom, Raspberry, Black Currant, Whipped Cream, Marshamallow, Musk, Ambrette (Musk Mallow)","오렌지 꽃으로 만든 핑크색 머랭쿠키 향이라고 하고 싶습니다. 뽀용한 달달함이 느껴져요. 핑크핑크한 하이틴 무드, 바비 코어 등이 잘 어울립니다."
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,러시 아메리칸 크림,American Cream Lush,"Milk, Vanille, White Honey, Big Strawberry, Orange",미국 가정집에서 만든 바닐라 파우더가 있따면 이런 향일 것 같아요. 속칭 미국 냄새 스타일 좋아하시는 분들이라면 추천을 하고 싶은 향입니다.
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,줄리엣헤즈어건 바닐라바이브,Vanilla Vibes Juliette Has A Gun,"Salt, Vanilla Absolute, Orchid, Tonka Bean, Musk, Sandalwood, Benzoin",시원한 바닷바람과 약간 솔티함이 섞인 바닐라라 너무 무겁거나 덥지 않아요. 상쾌한 바다 바닐라!
우아하고 보드랍게 달콤한 향수들 모음🩰°˖𓍢ִ໋🌷͙֒✧°.🎀༘⋆,https://www.youtube.com/watch?v=0SlDQ2c5Z9o,줄리엣헤즈어건 러스트포썬,Lust for Sun Juliette Has A Gun,"Coconut, Freesia, Bergamot, Gardenia, Ylang-Ylang, Jasmine, Orange Blossom, White Musk, Ambroxan, Vanilla",여름 햇살 같은 따스한 코코넛 향이랑 오렌지 블라섬 일랑일랑이 어우러진 향기입니다. 되게 멋진 커리어 우먼이 루프탑 수영장으로 휴가가서 태닝하고 있는듯한 느낌의 향기 입니다.
우아한 이태리 감성을 입고 싶다면💙더 머천트 오브 베니스 향수 추천!,https://www.youtube.com/watch?v=4QCZGa1cT1s,더 머천트 오브 베니스 임페리얼 에메랄드,Imperial Emerald The Merchant of Venice,"Bergamot, Mandarin, Pink Pepper, Orris Accord, Ylang-Ylang, Rose, Jasmine, Tuberose, Orange Flower, White Amber, Benzoine, Vanilla, White Musk, Pachouli",처음에는 좀 경쾌하고 엣지는 시트러스 향으로 시작을 하고 곧이어서 파우더리한 오리스 정렬적인 바이브의 핑크 페퍼 향이 드러납니다. 그리고 일랑일랑 로즈 자스민 튜베로즈 이런 풍만한 화이트 플라워 향들이 그윽하게 퍼져요. 잔향에서 엠버 바닐라 파출리 머스크 요런 향들이 따뜻하게 피부를 감싸 주면서 마무리가 됩니다.
우아한 이태리 감성을 입고 싶다면💙더 머천트 오브 베니스 향수 추천!,https://www.youtube.com/watch?v=4QCZGa1cT1s,더 머천트 오브 베니스 통카 베네수엘라,Tonka Venezuela The Merchant of Venice,"Tonka Bean, Vanilla",이거는 이름처럼 베네수엘라의 통화에서 영감받은 향인데요. 카의 콩을 건조시키고 로스팅을 하면은 중독적이면서도 구르망 kh 느낌의 향을 발현하는 수지를 얻을 수가 있다고 합니다. 그래서이 통카 베네수엘라에서 달콤한 코코와 혹은 원두 커피 카라멜 그리고 약간의 자연적인 얼씨지 또 같이 느껴집니다.
유럽 비밀정원 향!?🏰 산타마리아노벨라 메디치가든 컬렉션 향수 4종 리뷰,https://www.youtube.com/watch?v=WwXcv5FYlrI,젤솜이노,,,"매혹적인 자스민 향이에요. 자스민 꽃향기는 한데 푸릇푸릇한 가든의 느낌이 있구나라는 생각이 들었고, 화이트 플라워 향인데도 전혀 부담 없고 신선한 향이라서 봄 여름에 잘 어울릴 향기입니다. 핑크페퍼랑 베르감이 더해져서 경쾌하게 만들어 주고, 제라늄과 일랑일랑 덕분에 정원 잘 관리된 온실의 바이브를 만들어 줍니다."
유럽 비밀정원 향!?🏰 산타마리아노벨라 메디치가든 컬렉션 향수 4종 리뷰,https://www.youtube.com/watch?v=WwXcv5FYlrI,비자리아,,,"귤이랑 유자를 하나도 다듬지 않고 깨끗하게 씻기만 한 상태로 비누를 만들었을 때 날 것 같은 향기로 느껴집니다. 뿌리자마자 비트 오렌지 노트에 존재감이 느껴져서 쌉쌀한 귤껍질을 딱 씹은 듯한 오렌지향이 나고, 새콤달콤한 유자향도 섞인 거 같고 약간 알싸한 진저 향도 은은하게 살짝 느껴져요. 비누처럼 깨끗한 향으로 받아들여지더라구요. 여름에 쓰기 좋은 깔끔하고 중성적인 시트러스 향이라고 생각하시면 되고요."
유럽 비밀정원 향!?🏰 산타마리아노벨라 메디치가든 컬렉션 향수 4종 리뷰,https://www.youtube.com/watch?v=WwXcv5FYlrI,매그놀리아,,,"향기가 되게 시원하고 달콤하게 표현된 향수입니다. 화사하고 스윗한 각종 목련꽃 향기가 나는데, 유치한 느낌은 아닌 분명한 기품이 곁들여진 꽃향기라고 생각하시면 되겠습니다."
유럽 비밀정원 향!?🏰 산타마리아노벨라 메디치가든 컬렉션 향수 4종 리뷰,https://www.youtube.com/watch?v=WwXcv5FYlrI,아이리스,,,우아한 꽃향기뿐만 아니라 연두빛 이파리 향도 나고 흙이 묻어있는 꽃을 뿌리 향기 같은 얼씨암도 느껴집니다. 많이 달지 않고 보송보송 보들보들 벨벳 같은 질감 이런 걸 연상케 하는 꽃향기라고 할 수 있어요. 따뜻한 온기가 느껴지는 향수로 받아들여졌습니다.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,아뜰리에코롬의 새들 아틀라,,,겨울왕국의 나무가 심어져 있다면 딱 이런 향일 것 같아요. 시원하면서도 매끈한 우디 향입니다. 그리고 고급스러운 향이에요.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,베로니크 가바이에 미모사 인디,,,"봄날에 꽃다발을 하나 안고 가볍게 산책 나가는 기분이 드는 향이거든요. 살짝 파우더리한데, 공기 중에 흩날리고 있는 꽃향기로 느껴져서 포근하고 너무 좋아요."
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,탬버린 제 화이트 레슬링,,,테이블 세팅을 해 놓은 곳에서 거품이 뽀글뽀글 나는 샴페인을 따르는듯한 기분이 드는 향기입니다. 뽀얀 거품처럼 부드럽고 향긋해서 봄 여름에 사용하기에 너무 좋은 향이에요.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,DS 엔터가의 dsod 퍼퓸,,,"가드니아를 비롯해서 장미 자스민 연꽃이랑 꽃향기들이 사용된 향수인데요. 약간 인도나 스리랑카 같은 나라의 향신료 냄새 같은게 섞여 있고, 오래된 나무향도 꽤 나거든요."
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,로드리게즈의 퓨어머스크,,,비누의 살냄새에 모범 답안 같은 느낌이에요. 비누의 청결함이 있으면서 살냄새라는 단어가 가지고 있는 약간의 관능미까지 갖추고 있는 향수예요.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,밀러헤리스의 팁톤이크,,,안개 낀 새벽에 차밭을 거닐다가 찻잎을 한줌 따서 딱 맞출 때 느낌을 표현한 향이라고 하는데 완전 그런 향입니다. 약간 스모키한 우디 향도 섞여 있어서 흰옷깃한 향기도 약간 느껴지거든요.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,베니스의 상인 교쿠로,,,달콤한 복숭아향이랑 차향이 섞인 향수예요. 복숭아의 달달함이 꽤 존재감이 큰데도 차분한 이미지의 향수라서 좋습니다.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,퍼퓸드 엠파이어에 오스만투스,,,"복숭아 플러스 차량인데, 이 향수가 훨씬 더 향이 풍부해요. 오스만투스 꽃향기가 사용됐고, 뭔가 살구가 가득 들어간 투명한 녹차 같은 느낌이에요."
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,트루사르디의 알바 수위 나비,,,조말론 라인 바지를 만다린이나 아틀리에코롬 클레망테 캘리포니아 같은 허브향의 중성적인 우디향이 섞인 향수에요.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,록시땅 버베나,,,청소되는듯한 느낌이 드는 깨끗한 민트향입니다.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,제로보암의 플로로,,,"비싼 사과랑 파인애플로 만든 샴푸향 같다라고 표현하셨는데, 완전 공감되고 딱 그런 느낌의 고급 샴푸 냄새입니다."
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,아쿠아디 파르마의 블루라인,,,해변에서 자라난 무화과 나무의 향기입니다.
유명한 향수 다 써본 고인물이 추천하는💓봄/여름 향수!,https://www.youtube.com/watch?v=DD6fAonyrd0,졸업 부스의 망고 타이라인,,,민트랑 라임즙을 이렇게 뿌린 망고를 먹고 있는듯한 느낌의 향입니다.
은은하고 산뜻한 매력💚 구딸 여름 향수 5종 리뷰!,https://www.youtube.com/watch?v=XiWUUoFZTBE,쁘띠 쉐리,,,"잘 익은 복숭아와 배를 시원하게 갈아가지고 화사한 정원에서 맛보고 있는 듯한 향이라고 할 수 있습니다. 딱 뿌리자마자 복숭아와 과일의 과즙향이 확 나는데요, 아주 당도 높은 물복이 떠오릅니다. 기분 좋은 프루티 향으로 포문을 여는 향수고요. 그리고 그와 함께 아삭아삭한 배의 향기도 퍼집니다. 그리고 그 배에 약간의 이파리가 붙어 있을 것 같아요. 왜냐면 그 스윗할 과일향과 함께 싱그럽고 풋풋한 풀향도 살짝 나거든요. 게다가 잔향으로 갈수록 화사한 꽃 향기랑 부드러운 화이트 마스크가 느껴지기 때문에 뻔하지 않은 복숭아향 혹은 프렌치 감성이 가득 묻어 있는 납작복숭아향이라고 생각을 했습니다. 근데 사실 달콤한 과일향이라고 하면 자칫 잘못하면 좀 끈적하고 답답한 향으로 느껴질 수도 있잖아요. 근데 포티셔리는 그렇지 않습니다. 아주 깨끗한 느낌이에요. 제가 요거를 뿌렸을 때는 제 친구가 너한테는 샴푸 냄새나 이러면서 되게 달콤한 과일 샴푸향 같다라는 피드백을 주기도 했어요."
은은하고 산뜻한 매력💚 구딸 여름 향수 5종 리뷰!,https://www.youtube.com/watch?v=XiWUUoFZTBE,르썸 데이브,,,아주 부드럽고 향긋한 네럴리향이 뿌리자마자 퍼지는데요. 드넓은 들판에서 퍼지는 꽃향기처럼 부담이 없습니다. 거기에다가 약간의 허브향도 섞여서 차분하고 청초한 분위기를 연출하죠. 마치 되게 루즈하고 얇은 소재의 흰 셔츠를 툭 걸친 청순한 이미지의 여자가 떠오르는 향이라고 할 수 있습니다. 그리고 이 향이 가지고 있는 그 스토리처럼 뭔가 꿈이나 희망으로 가득 차 있고 자신의 일상을 소중히 여길 줄 아는 그런 사람이 떠오르는 향이네요.
은은하고 산뜻한 매력💚 구딸 여름 향수 5종 리뷰!,https://www.youtube.com/watch?v=XiWUUoFZTBE,르 셰브르 페이유,,,"달지 않은 꽃 향기랑 시원한 풀향이 어우러져서 서정적인 분위기를 완성하는 향이에요. 가족들이랑 같이 조경이 되게 잘 돼 있는 정원으로 휴가를 가 가지고 풀이랑 들꽃들을 직접 뜯으면서 화관을 만들고 있는 듯한 기분이 드는 향이에요. 허니석 글꼴 향기가 납니다. 거기에다가 맑은 자스민 양도 살짝 터치가 됐고, 싱그러우면서도 살짝 쌉쌀한 레몬트립 치 그레인도 더해져서 아주 산뜻하고 섬세한 그리너리 플루를 향이 완성이 됐습니다."
은은하고 산뜻한 매력💚 구딸 여름 향수 5종 리뷰!,https://www.youtube.com/watch?v=XiWUUoFZTBE,리롯데,,,웅장한 한라산 깊고 푸른 제주도 바다 드넓게 펼쳐진 연녹색의 차박 요런 것들이 연상케 하는 향기를 자랑합니다. 저한테 있어서 리롯데는 가장 인공적이지 않은 녹차향 향수로 각인이 되어 있는 향수예요. 그 녹차를 마실 때의 슴슴함이라던가 찻잎이 우러났을 때 편안한 향 이런 것들을 정말 훌륭하게 구현을 한 향수라고 생각을 하고요. 제주도의 귤밭을 지날 때 그 자연스러운 상큼함까지 더해져서 한층 더 매력적입니다.
은은하고 산뜻한 매력💚 구딸 여름 향수 5종 리뷰!,https://www.youtube.com/watch?v=XiWUUoFZTBE,샤페르쉐,,,"정말 정말 순수하고 은은한 향기에요. 이 향수는 아이들도 쓸 수 있는 차일드 퍼퓸으로 출시된 향수거든요. 그만큼 진짜 부담 없는 향이라서 평소에 자극적인 향은 피하고 싶어라고 생각했던 분들에게 정말 정말 추천하는 향수입니다. 이 향은 막 작은 시골 마을에서 아이들이 맨발로 풀밭을 뛰어놀고 민들레 홀씨도 불고 나무도 오르내리면서 하루종일 행복하게 놀고 있는 모습이 연상되는 향이에요. 그만큼 자연의 신선함이 느껴지는 풀향, 꽃향, 나무향 이런 것들이 평온하게 어우러집니다."
음지의 미용실;;에서 메이크업 받은 이야기하면서 겟레디/향수 방송 촬영/백화점 시향 등,https://www.youtube.com/watch?v=y6lhTdGSIio,포르쉐 카 퓨리오사,,,진정성이 조금 있는 라인이기도 하고요. 진짜 바다 냄새다 약간 아찔했어.
음지의 미용실;;에서 메이크업 받은 이야기하면서 겟레디/향수 방송 촬영/백화점 시향 등,https://www.youtube.com/watch?v=y6lhTdGSIio,오즈마투스,,,제일 좋아하는 플로럴 원료가 오즈마투스인데 아 진짜요. 약간 녹차 냄새도 나지 않아요.
음지의 미용실;;에서 메이크업 받은 이야기하면서 겟레디/향수 방송 촬영/백화점 시향 등,https://www.youtube.com/watch?v=y6lhTdGSIio,라르드 라게르,,,되게 커벌한데 좀 쿨한 허벌한 멋있는거.
음지의 미용실;;에서 메이크업 받은 이야기하면서 겟레디/향수 방송 촬영/백화점 시향 등,https://www.youtube.com/watch?v=y6lhTdGSIio,아쿠아디파르마,,,향이 굉장히 편안하고 평화롭습니다. 그리고 약간 과일 샴푸.
음지의 미용실;;에서 메이크업 받은 이야기하면서 겟레디/향수 방송 촬영/백화점 시향 등,https://www.youtube.com/watch?v=y6lhTdGSIio,프레쉬의 헤스페리에데스 모두 퍼퓸,,,진짜 상큼하고 가벼운 자몽향이잖아요. 방금 자몽 주스 같아서 진짜 생 자몽으로 만든 주스 같은 그런 향.
"인공적인 향수 냄새가 싫다면, '이솝 휠' 향수 추천! Aesop Hwyl Fragrance Review | 미지의세계 MIJI",https://www.youtube.com/watch?v=vVhaHe58EKA,이소휠,,,"300년 이상 된 일본의 히바 고목이 가득한 숲과 초록에 물든 향으로, 강력한 보태니컬 추출물이 다양하게 함유되어 있어 후각을 기분 좋게 자극합니다. 깊은 숲속에서 나는 향기를 가진 형수다라는 표현을 많이들 하시곤 하잖아요. 아주 다크한 나무 냄새와 새가 지배적으로 느껴집니다. 히노끼탕의 냄새와 비슷한데, 진짜 나무 향이 나며 인공적인 향기가 섞이지 않은 순수한 아우디 향이 나는 향수입니다. 자연적이고 편안한 우디 향을 좋아하시는 분들이 분명히 마음에 들어하실 겁니다. 청명한 기운이 있으면서도 가볍지 않은 향으로 사계절 내내 사용하기 좋을 것 같아요."
"인스타/사람인/페이스북 감성을 향수로 비유한다면?🤭크리드, 탬버린즈, 디에스앤더가 등 향기 리뷰",https://www.youtube.com/watch?v=Pi2MgRjtgys,링크 de 써,,,1군 10대 뿌리기 좋은 향수라고 생각을 해서 흐리는 있는 향이 라고 생각을 해서 흐리는 오리지널 베티버 가와 저희를 갖고 왔어요. 이염 수는 오히려 되게 무난하고 그냥 행방 맡았을 때는 디게 탈이 등 가.
"인스타/사람인/페이스북 감성을 향수로 비유한다면?🤭크리드, 탬버린즈, 디에스앤더가 등 향기 리뷰",https://www.youtube.com/watch?v=Pi2MgRjtgys,오리지널 뷰티 번,,,향수를 자 쓰는데 오리지널 뷰티 번은 사실 리더 평소에 좋았을 나누자는 더 제가 조선 스타입니다 새로 쓰 향을 채널 딱부리 상상을 하시는 공약에 퍼지고 가볍고 말할게요 볼 때는 퍼지고 가볍고 말할게요 볼 때는 분열을 우리가 세상에 태어날 땐 못.
